source_ENSEMBL target_ENSEMBL interaction
_ADD1_ADD2_EPB41_GYPC_SLC2A1_SLC4A1_STOM ENSG00000070182 1
_APH1A_NCSTN_PSEN1_PSENEN ENSG00000074181 1
_APH1A_NCSTN_PSEN1_PSENEN ENSG00000134250 1
_APH1A_NCSTN_PSEN1_PSENEN ENSG00000171587 -1
_APH1A_NCSTN_PSEN1_PSENEN ENSG00000177103 -1
_APH1A_NCSTN_PSEN1_PSENEN ENSG00000148400 1
_APH1A_NCSTN_PSEN1_PSENEN ENSG00000142192 1
_APH1A_NCSTN_PSEN1_PSENEN ENSG00000204301 1
_C2_C3_C4A_C4B_2 ENSG00000106804 1
_C2_C4A_C4B_2 ENSG00000125730 1
_CCNC_CDK8_MED12_MED13_MED13L MED1_MED10_MED11_MED14_MED15_MED16_MED17_MED18_MED19_MED20_MED21_MED22_MED23_MED24_MED25_MED26_MED27_MED28_MED29_MED30_MED31_MED4_MED6_MED7_MED8_MED9 -1
_CHEBI_18420_DIS3L_EXOSC1_EXOSC10_EXOSC2_EXOSC3_EXOSC4_EXOSC5_EXOSC6_EXOSC7_EXOSC8_EXOSC9 ENSG00000089280 1
_GRIN1_GRIN2A ENSG00000132535 1
_GRIN1_GRIN2A ENSG00000085733 1
_GRIN1_GRIN2A ENSG00000070808 1
_GRIN1_GRIN2B ENSG00000132535 1
_GRIN1_GRIN2B ENSG00000085733 1
_GRIN1_GRIN2B ENSG00000070808 1
_GRIN1_GRIN2C ENSG00000132535 1
_GRIN1_GRIN2C ENSG00000085733 1
_GRIN1_GRIN2C ENSG00000070808 1
_GRIN1_GRIN2D ENSG00000132535 1
_GRIN1_GRIN2D ENSG00000085733 1
_GRIN1_GRIN2D ENSG00000070808 1
_PPP2CA_PPP2R1A_PPP2R2A ENSG00000142208 -1
_PPP2CA_PPP2R1A_PPP2R2A ENSG00000132155 1
_PPP2CA_PPP2R1A_PPP2R2A ENSG00000214517 1
_TUBGCP2_TUBGCP3_TUBGCP4_TUBGCP5_TUBGCP6 ENSG00000131462 1
ENSG00000175899 ENSG00000142515 -1
ENSG00000175899 ENSG00000123384 1
ENSG00000175899 ENSG00000100985 -1
ENSG00000175899 ENSG00000087245 -1
AAAS_AHCTF1_GLE1_NDC1_NUP107_NUP133_NUP153_NUP155_NUP160_NUP188_NUP205_NUP210_NUP214_NUP35_NUP37_NUP42_NUP43_NUP50_NUP54_NUP58_NUP62_NUP85_NUP88_NUP93_NUP98_POM121_RAE1_RANBP2_SEC13_SEH1L_TPR ENSG00000184575 1
ENSG00000115977 ENSG00000133961 1
ENSG00000115977 ENSG00000072958 1
ENSG00000115977 ENSG00000161203 1
ENSG00000129673 ENSG00000168412 1
ENSG00000129673 ENSG00000134640 1
ENSG00000181409 ENSG00000198648 -1
ENSG00000181409 ENSG00000176749 1
ENSG00000064687 ENSG00000118137 1
ENSG00000125257 BLOC1S1_BLOC1S2_BLOC1S3_BLOC1S4_BLOC1S5_BLOC1S6_DTNBP1_SNAPIN 1
ENSG00000011198 ENSG00000177666 1
ENSG00000136754 ENSG00000110395 1
ABI1_BRK1_CYFIP1_NCKAP1_WASF1 ACTR2_ACTR3_ARPC1A_ARPC2_ARPC3_ARPC4_ARPC5 1
ABI1_BRK1_CYFIP1_NCKAP1_WASF2 ACTR2_ACTR3_ARPC1A_ARPC2_ARPC3_ARPC4_ARPC5 1
ENSG00000097007 ENSG00000166313 1
ENSG00000097007 ENSG00000196591 1
ENSG00000097007 ENSG00000132970 1
ENSG00000097007 ENSG00000160007 1
ENSG00000097007 ENSG00000083896 -1
ENSG00000097007 ENSG00000111679 1
ENSG00000097007 ENSG00000172613 1
ENSG00000097007 ENSG00000124181 -1
ENSG00000097007 ENSG00000137693 1
ENSG00000097007 ENSG00000166851 1
